"","neigh","price"
"1810","Torino -  2 - Crocetta, San Secondo",255
"1910","Torino -  2 - Crocetta, San Secondo",700
"2010","Torino -  2 - Crocetta, San Secondo",565
"2110","Torino -  2 - Crocetta, San Secondo",349
"2210","Torino -  2 - Crocetta, San Secondo",850
"2310","Torino -  2 - Crocetta, San Secondo",340
"2410","Torino -  2 - Crocetta, San Secondo",300
"2510","Torino -  2 - Crocetta, San Secondo",119
"2610","Torino -  2 - Crocetta, San Secondo",329
"2710","Torino -  2 - Crocetta, San Secondo",265
"2810","Torino -  2 - Crocetta, San Secondo",150
"2910","Torino -  2 - Crocetta, San Secondo",185
"3010","Torino -  2 - Crocetta, San Secondo",385
"3110","Torino -  2 - Crocetta, San Secondo",430
"3210","Torino -  3 - San Salvario",476
"3310","Torino -  3 - San Salvario",269
"3410","Torino -  3 - San Salvario",179
"3510","Torino -  3 - San Salvario",175
"3610","Torino -  3 - San Salvario",179
"3710","Torino -  3 - San Salvario",244
"3810","Torino -  3 - San Salvario",109
"3910","Torino -  3 - San Salvario",340
"4010","Torino -  3 - San Salvario",145
"4110","Torino -  3 - San Salvario",230
"423","Torino -  3 - San Salvario",340
"431","Torino -  3 - San Salvario",60
"441","Torino -  3 - San Salvario",139
"451","Torino -  3 - San Salvario",350
"461","Torino -  3 - San Salvario",55
"471","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",198
"481","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",246
"491","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",249
"501","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",298
"511","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",99
"521","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",168
"531","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",188
"541","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",180
"551","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",49
"561","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",299
"571","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",680
"581","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",430
"591","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",85
"601","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",70
"611","Torino -  4 - Valentino, Italia 61, Nizza Millefonti",105
"621","Torino -  5 - Precollina, Collina",130
"631","Torino -  5 - Precollina, Collina",150
"641","Torino -  5 - Precollina, Collina",120
"651","Torino -  5 - Precollina, Collina",80
"661","Torino -  5 - Precollina, Collina",277
"671","Torino -  5 - Precollina, Collina",377
"681","Torino -  5 - Precollina, Collina",247
"691","Torino -  5 - Precollina, Collina",277
"701","Torino -  5 - Precollina, Collina",550
"711","Torino -  5 - Precollina, Collina",445
"721","Torino -  5 - Precollina, Collina",210
"731","Torino -  5 - Precollina, Collina",420
"741","Torino -  5 - Precollina, Collina",129
"751","Torino -  5 - Precollina, Collina",570
"761","Torino -  5 - Precollina, Collina",695
"771","Torino -  6 - Lingotto",139
"781","Torino -  6 - Lingotto",125
"791","Torino -  6 - Lingotto",84
"801","Torino -  6 - Lingotto",149
"811","Torino -  6 - Lingotto",74
"821","Torino -  6 - Lingotto",154
"831","Torino -  6 - Lingotto",75
"841","Torino -  6 - Lingotto",99
"851","Torino -  6 - Lingotto",125
"861","Torino -  6 - Lingotto",119
"871","Torino -  6 - Lingotto",154
"881","Torino -  6 - Lingotto",139
"891","Torino -  6 - Lingotto",225
"901","Torino -  6 - Lingotto",92
"911","Torino -  6 - Lingotto",208
"921","Torino -  7 - Santa Rita",168
"931","Torino -  7 - Santa Rita",159
"941","Torino -  7 - Santa Rita",320
"951","Torino -  7 - Santa Rita",79
"961","Torino -  7 - Santa Rita",309
"971","Torino -  7 - Santa Rita",129
"981","Torino -  7 - Santa Rita",109
"991","Torino -  7 - Santa Rita",168
"1001","Torino -  7 - Santa Rita",155
"1011","Torino -  7 - Santa Rita",115
"1021","Torino -  7 - Santa Rita",85
"1031","Torino -  7 - Santa Rita",75
"1041","Torino -  7 - Santa Rita",178
"1051","Torino -  7 - Santa Rita",99
"1061","Torino -  7 - Santa Rita",124
"1071","Torino -  8 - Cenisia, San Paolo",199
"1081","Torino -  8 - Cenisia, San Paolo",259
"1091","Torino -  8 - Cenisia, San Paolo",265
"1101","Torino -  8 - Cenisia, San Paolo",170
"1111","Torino -  8 - Cenisia, San Paolo",301
"1121","Torino -  8 - Cenisia, San Paolo",250
"1131","Torino -  8 - Cenisia, San Paolo",125
"1141","Torino -  8 - Cenisia, San Paolo",135
"1151","Torino -  8 - Cenisia, San Paolo",56
"1161","Torino -  8 - Cenisia, San Paolo",69
"1171","Torino -  8 - Cenisia, San Paolo",74
"1181","Torino -  8 - Cenisia, San Paolo",440
"1191","Torino -  8 - Cenisia, San Paolo",275
"1201","Torino -  8 - Cenisia, San Paolo",218
"1211","Torino -  8 - Cenisia, San Paolo",191
"1221","Torino -  9 - Cit Turin, San Donato, Campidoglio",275
"1231","Torino -  9 - Cit Turin, San Donato, Campidoglio",225
"1241","Torino -  9 - Cit Turin, San Donato, Campidoglio",149
"1251","Torino -  9 - Cit Turin, San Donato, Campidoglio",359
"1261","Torino -  9 - Cit Turin, San Donato, Campidoglio",630
