,city,Areas,neighborhood,estateprice
151,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",190
152,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",455
153,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",420
154,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",450
155,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",175
156,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",448
157,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",235
158,F,Isolotto- Legnaia,"Firenze -  6 - Collina sud, Galluzzo, Ponte a Ema",195
159,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,620
160,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,430
161,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,380
162,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,270
163,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,190
164,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,295
165,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,490
166,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,499
167,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,485
168,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,330
169,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,285
170,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,465
171,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,269
172,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,530
173,F,Isolotto- Legnaia,Firenze - 13 - S.Gaggio,330
174,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",430
175,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",670
176,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",295
177,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",315
178,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",360
179,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",348
180,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",395
181,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",219
182,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",370
183,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",295
184,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",295
185,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",670
186,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",665
187,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",550
188,F,Isolotto- Legnaia,"Firenze - 14 - Bellariva, Gavinana, La Rondinella, Sorgane",199
189,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",303
190,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",580
191,F,Rifredi,"Firenze - 10 - Leopoldo, Rifredi",349
